nvda_high,nvda_low,nvda_open,nvda_close,intel_high,intel_low,intel_close,amd_high,amd_low,amd_close,qcom_high,qcom_low,qcom_close,google_high,google_low,google_close,nvda_high,intel_open,amd_open,qcom_open,google_open,NVDA_RSI,NVDA_BBB_5_2.0,NVDA_VWAP,Year,CPIAUCNS,GDP,Basic Average Shares,Cost Of Revenue,Interest Expense,Other Income Expense,Reconciled Depreciation,Selling General And Administration,Accumulated Depreciation,Buildings And Improvements,Cash And Cash Equivalents,Current Liabilities,Gains Losses Not Affecting Retained Earnings,Long Term Debt,Non Current Prepaid Assets,Other Properties,Tradeand Other Payables Non Current,Cash Dividends Paid,Change In Prepaid Assets,Changes In Cash,Common Stock Dividend Paid,Income Tax Paid Supplemental Data,Sale Of Investment,price_change_percentage,Datetime
-0.895664361,-0.888312901,14.22675018,14.1662506,1.016746938,1.017141206,0.999140753,-0.617825125,-0.60429579,-0.61535306,-0.396549674,-0.431357111,-0.460068557,-2.093788794,-2.073659926,-2.087993697,-0.895664361,1.029752002,-0.599792479,-0.407616475,-2.078296161,-0.412276604,-0.675855114,-1.368517985,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.025498477,10/13/2020 17:30
-0.890249983,-0.887742545,14.16450043,14.29575043,1.022151626,1.011037955,1.037105352,-0.592710376,-0.599042846,-0.581530369,-0.388661505,-0.441520505,-0.368327019,-2.072159094,-2.078594689,-2.05830941,-0.890249983,0.999025735,-0.615346062,-0.460118926,-2.086508523,-0.412276604,-0.609211828,-1.36757152,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.14784415,10/13/2020 18:30
-0.888936741,-0.879495551,14.30075073,14.24774933,1.023052618,1.025547266,1.009987742,-0.594004906,-0.573704917,-0.594491758,-0.384455497,-0.374657127,-0.393781434,-2.069114475,-2.057184166,-2.076968288,-0.888936741,1.037885516,-0.581449227,-0.36784177,-2.056441367,-0.412276604,-0.717308222,-1.366467714,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.267814192,10/13/2020 19:30
-0.889543052,-0.890125267,14.29049988,14.13300018,1.042870558,1.021466704,1.006824011,-0.586669038,-0.638883489,-0.654889653,-0.163075256,-0.285862776,-0.210298729,-2.052567976,-2.05738302,-2.067267756,-0.889543052,1.02704068,-0.568411836,-0.307914284,-2.055646841,-0.375644645,-0.556053361,-1.366462973,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.039175386,10/14/2020 13:30
-0.899624308,-0.891795073,14.12599945,14.14449768,1.009540266,1.02192021,1.019478937,-0.627232437,-0.637347157,-0.60887002,-0.163600836,-0.217362102,-0.156208224,-2.064507956,-2.060447451,-2.063371756,-0.899624308,1.007159159,-0.654805374,-0.210863899,-2.064732957,-0.308190992,-0.495672055,-1.366975289,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.359780715,10/14/2020 14:30
-0.902707897,-0.902261724,14.15002288,14.01943968,1.005937291,1.003783481,0.992361328,-0.624647349,-0.650261095,-0.662246203,-0.18305755,-0.248418643,-0.265980072,-2.081874992,-2.11238211,-2.111396884,-0.902707897,1.019811151,-0.609262007,-0.154119079,-2.061527691,-0.886457234,-0.14015116,-1.368980799,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.032625947,10/14/2020 15:30
-0.909159919,-0.898644203,14.01974945,14.0345001,0.982516015,1.006503886,0.990553391,-0.663480293,-0.644132449,-0.653586144,-0.272976218,-0.252163366,-0.261206816,-2.1206468,-2.098758321,-2.107765857,-0.909159919,0.992699829,-0.661845582,-0.264957709,-2.109952692,-0.792609997,-0.281503328,-1.370249913,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.291331826,10/14/2020 16:30
-0.904917225,-0.899512725,14.03399963,14.08987425,0.996928997,1.001969817,1.00366037,-0.650534439,-0.639754901,-0.639681593,-0.24773602,-0.248418643,-0.245828521,-2.103689869,-2.098493076,-2.099099016,-0.904917225,0.990892311,-0.653588563,-0.260184957,-2.104283652,-0.459228434,-0.630623282,-1.371107382,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.012303895,10/14/2020 17:30
-0.90204844,-0.894930979,14.08962552,14.14499968,0.988821695,1.006658229,1.003208227,-0.64231399,-0.625133598,-0.624690705,-0.242477275,-0.243070054,-0.216662028,-2.098580493,-2.087827487,-2.088881799,-0.90204844,1.003544304,-0.639682152,-0.245070357,-2.09657478,-0.157706048,-0.603896578,-1.371537074,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.099839637,10/14/2020 18:30
-0.900856534,-0.892222623,14.1475006,14.0907501,0.994226653,1.001062804,0.98467798,-0.638883416,-0.620931024,-0.640116197,-0.224073246,-0.236650581,-0.265980072,-2.084893113,-2.069388446,-2.085873575,-0.900856534,1.003336359,-0.624906763,-0.216697523,-2.086561234,-0.425830513,-0.689639784,-1.371978731,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.104116188,10/14/2020 19:30
